sid,nid,nage,ngender,lid,lage,lgender,n2id,n2age,n2gender,nsindex,lsindex,n2sindex,family,pair,group,week,finalweek,cumulweek,intergenerational_index,done,duration,wtest,appversion,appversion2,stat_stories,stat_stories_from_log,stat_editions,stat_editions_from_log,stat_deletions,stat_pictures,stat_questions_views,stat_questions_answered,stat_public_memento_views,stat_public_memento_detail_views,mood_week_narrator,mood_before_narrator,mood_after_narrator,mood_week_listener,mood_before_listener,mood_after_listener,mood_week_narrator2,mood_before_narrator2,mood_after_narrator2,log_traffic,p_score_binary,p_score,s_max_score,sg_score,se_score,set_score,st_score,sr_score,pc_score,pnc_score,cc_score,cnc_score,c_max_score
24,70,68,1,72,38,0,0,NA,NA,NA,NA,NA,0,2,1,3,8,3,2,1,1,0,1,1,2,2,0,0,0,13,0,0,6,0,0,0,38,0,0,36,0,0,NA,34,1,3,3,0,3,1,3,2,3,2,2,0,3
19,96,79,1,141,32,1,0,NA,NA,1,2,NA,0,11,2,2,3,1,2,1,1,0,4,4,1,1,0,0,0,2,36,1,94,2,NA,NA,NA,0,0,NA,0,0,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,73,72,0,141,32,1,0,NA,NA,NA,2,NA,0,3,1,3,1,1,2,1,1.03,0,4,4,3,3,0,0,0,4,15,0,98,7,38,0,40,0,0,39,0,0,NA,155,1,3,1,1,0,0,3,2,2,2,3,0,3
27,75,65,1,76,18,1,0,NA,NA,NA,NA,NA,0,4,1,3,7,3,2,1,1,0,3,3,6,6,4,1,0,5,5,0,180,9,0,0,35,0,0,NA,0,0,NA,226,1,3,2,1,1,2,3,1,2,2,2,0,2
28,98,89,1,99,15,1,121,82,1,3,2,2,1,5,1,1,6,1,4,1,0.75,0,4,4,2,2,3,3,0,1,14,0,70,16,0,0,29,0,0,NA,0,0,39,126,0,0,1,0,1,0,3,0,1,2,0,0,1
30,83,90,1,84,29,0,122,80,1,NA,1,NA,1,9,1,3,6,3,3,1,1.13,0,3,3,4,6,0,0,0,5,0,0,178,0,0,0,37,0,0,36,0,0,25,280,0,0,2,0,2,0,3,0,0,3,0,0,0
29,79,78,1,82,28,1,0,NA,NA,2,1,NA,0,8,1,3,6,3,3,1,1.3,0,4,4,15,16,1,1,0,3,33,0,256,0,0,0,39,0,0,37,0,0,NA,338,1,3,3,1,2,3,3,1,3,1,0,2,3
31,69,67,1,71,21,1,0,NA,NA,1,2,NA,0,1,1,4,8,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,70,68,1,72,38,0,0,NA,NA,NA,NA,NA,0,2,1,4,8,4,2,1,0.8,0,4,4,3,3,0,0,0,8,14,3,48,3,0,0,34,0,0,NA,0,0,NA,88,NA,3,3,1,3,2,2,0,0,3,0,3,0
35,98,89,1,99,15,1,121,82,1,3,2,2,1,5,1,2,6,2,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,73,72,0,74,28,1,0,NA,NA,NA,2,NA,0,3,1,4,7,3,2,1,1.23,0,3,3,5,8,4,4,0,17,4,0,201,0,35.67,NA,NA,0,0,17,0,0,NA,255,1,3,1,0,1,0,3,0,3,2,2,0,3
34,75,65,1,76,18,1,0,NA,NA,NA,NA,NA,0,4,1,4,7,4,2,1,1,0,2,2,6,7,4,4,0,0,38,5,17,0,0,0,35,0,0,33,0,0,NA,114,0,0,3,3,2,2,2,2,0,3,3,0,3
36,77,67,1,140,32,0,0,NA,NA,1,2,NA,0,6,1,4,1,1,2,1,0.97,0,2,2,9,9,8,8,0,10,22,0,64,0,0,0,36,0,0,35,0,0,NA,139,1,2,3,3,2,0,3,2,2,2,2,0,2
37,78,73,1,145,12,0,0,NA,NA,2,NA,NA,0,7,1,3,1,1,3,1,1.08,0,1,1,3,3,3,3,0,6,3,0,19,0,0,0,35,0,0,29,0,0,NA,48,1,3,1,0,1,1,3,1,2,2,0,0,2
38,79,78,1,82,28,1,0,NA,NA,2,1,NA,0,8,1,4,6,4,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,83,90,1,84,29,0,122,80,1,NA,1,NA,1,9,1,4,6,4,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,69,67,1,71,21,1,0,NA,NA,1,2,NA,0,1,1,4,8,4,2,1,0.95,0,1,1,5,5,3,3,0,7,1,0,0,0,0,0,36,0,0,37,0,0,NA,22,1,2,1,0,1,0,2,1,2,2,0,0,2
42,70,68,1,72,38,0,0,NA,NA,NA,NA,NA,0,2,1,5,8,5,2,1,1,0,3,5,2,2,4,4,0,12,16,0,33,0,0,0,38,0,0,36,0,0,NA,99,1,3,3,0,3,2,3,2,2,1,2,0,2
43,73,72,0,74,28,1,0,NA,NA,NA,2,NA,0,3,1,5,7,4,2,1,1.25,0,2,2,5,5,6,6,0,14,19,0,0,0,38.75,NA,NA,0,0,28,0,0,NA,46,NA,3,2,1,2,0,2,0,1,1,2,2,2
40,100,74,1,139,24,1,0,NA,NA,2,NA,NA,0,12,2,1,1,1,3,1,1.42,0,3,3,3,3,4,4,0,7,27,0,40,3,0,32,35,0,31,37,0,0,NA,114,0,0,2,0,2,0,2,2,3,0,0,0,3
44,75,65,1,76,18,1,0,NA,NA,NA,NA,NA,0,4,1,5,7,5,2,1,1.25,0,1,1,5,5,8,8,0,10,4,0,0,0,0,0,35,0,0,32,0,0,NA,32,1,3,2,0,2,0,3,2,3,1,2,0,3
45,98,89,1,99,15,1,121,82,1,3,2,2,1,5,1,2,6,2,4,1,0.5,0,3,3,3,3,1,1,0,7,11,0,17,0,0,0,31,0,0,39,0,0,40,47,1,3,2,0,2,0,3,3,3,1,2,0,3
